product_id,description,category
1,Queen Panel Bed,beds
2,Regent Dining Set For 6,6 seats dining room
3,Reid Graphite Sofa,sofas
4,Mason Graphite Sofa,sofas
5,Mcdade Graphite Sofa,sofas
6,Mcdade Graphitef Sofa,sofas
8,Shuffle Sofa With Reversible Chaise,sofas
10,Bonaterra Sofa With Reversible Chaise,sofas
14,Bonaterra Sofa With Reversible Chaise,sofas
15,Emery Sofa With Reversible Chaise,sofas
16,Westlawn White 72 Inch Bookcase,bookcases
17,Westlawn White 72 Inch Bookcase,bookcases
18,Westlawn Blue 72 Inch Bookcase,bookcases
19,Westlawn Blue 72 Inch Bookcase,bookcases
20,Dixon White 84 Inch TV Stand With Glass Doors,bookcases
21,Dixon White 97 Inch Tv Stand With Glass Doors,bookcases
22,Dunkin 28 Inch Round Coffee Table,coffee tables
23,Molly 3 Piece Coffee Table Set,coffee tables
24,Jaxon 3 Piece Coffee Table Set,coffee tables
25,Lita Coffee Table With Storage,coffee tables
26,Natural Oak + Grey Coffee Table,coffee tables
27,Ava White Vanity Table,vanities
28,Ava White Vanity Table,vanities
29,Ava White Vanity Table,vanities
30,Ava Black 3 Piece Vanity Set,vanities
31,Mya White Vanity Table + Stool,vanities
32,Allen Queen Panel Bed With Storage,beds
33,Allen Queen Panel Bed,beds
34,Coleman Queen Panel Bed,beds
35,Coleman Queen white Panel Bed,beds
36,Presby Gray Queen Panel Bed,beds
37,Pierce Espresso Queen Panel Bed,beds
38,Pierce Espresso Queen Panel Bed WithStorage,beds
39,"Jaxon Grey 54"" Wardrobe",armoires
40,Jaxon Espresso Wardrobe,armoires
41,Jaxon Espresso Wardrobe Gentlemans Chest,armoires
42,Madison White Armoire,armoires
43,Jaxon Espresso Wardrobe Best Chest,armoires
44,Moby Black High Back Rolling Office Chair,chairs
45,Moby Black High Back Rolling Office Chair,chairs
46,Moby Black High Back Rolling Office Chair,chairs
47,Zeus Gaming Chair,chairs
48,White zeus Gaming Chair,chairs
49,White zeus AND Black Swivel Gaming Chair,chairs
50,White Table Lamp With USB,desk lamps
51,White Table Lamp With USB,desk lamps
52,White Table Lamp With USB,desk lamps
53,26.5 Inch Black Task Lamp With 2 USB,desk lamps
54,Allen 66 Inch Computer Desk,desks
55,Allen 66 Inch Computer Desk,desks
56,Allen 67 Inch Computer Desk,desks
57,Allen 67 L-Shaped Computer Desk,desks
58,Jaxon Grey Round Extension Dining,4 seats dining room
59,JAXON Inch Round Dining Set,4 seats dining room
60,Jaxon Inch Round Dining Set 2,4 seats dining room
61,Jaime Dining Set For 4,4 seats dining room
62,Jaime Stratus Dining Set For 4,4 seats dining room
63,Regent Dining With Bench Set For 6,6 seats dining room
64,Regent Westridge Dining With Bench Set For 6,6 seats dining room
65,Jaxon Dining Set For 6,6 seats dining room
67,Caden 55 Inch Round Dining Table,dining tables
68,Lakeland 55 Inch Round Dining Table,dining tables
69,Milo 55 Inch Round Dining Table,dining tables
70,Sandro 78 Inch Dining Table,dining tables
71,Luis 78 Inch Dining Table,dining tables
72,Summit Grey Full Bookcase Daybed Bed,kids beds
73,Summit Black Full Bookcase Daybed Bed,kids beds
74,Summit Black Full Bookcase Daybed Bed,kids beds
75,Picture-Jasien II 18X22,room decor
76,Picture-Jasien III 18X22,room decor
77,2x3 Rug-Agudo Cobalt,room decor
78,2'x3' Rug-Agudo Lemon,room decor
79,Madison White Drawer Dresser,kids dressers
80,Madison White Drawer Dresser,kids dressers
81,Madison White Drawer Dresser,kids dressers
82,adison White Drawer Dresser,kids dressers
83,Ravelo Outdoor 4 Piece Sectional,outdoor sets
84,Ravelo Outdoor 7 Piece Sectional,outdoor sets
85,Sanibel Outdoor Deep Seat Loveseat,outdoor sets
86,Palms  Outdoor Egg Chair,outdoor sets
90,Palms  Outdoor Egg Chair,outdoor chairs
91,Palms  Outdoor Egg Chair,outdoor chairs
92,Verbena Taupe Outdoor Adirondack Chair,outdoor chairs
93,Ocean Outdoor Adirondack Chair,outdoor chairs
94,Market Outdoor Cream Umbrella With Square Base,umbrellas
95,Market Outdoor Cream Umbrella With Square Base,umbrellas
96,Market Outdoor Cream Umbrella With Square Base,umbrellas
97,Market Outdoor Cream Umbrella With Square Base,umbrellas
